route_id,service_id,agency_id,,route_long_name,route_service_name,route_desc,route_type,route_url,route_color,route_text_color,bikes_allowed
8916,90,MMT,67,,W TOWNE:WEST TP,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-67,6584A4,000000,1
8917,90,MMT,68,,PR TOWN:WEST TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-68,5EA95A,000000,1
8918,90,MMT,70,,MIDDLTON:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-70,A8B1DA,000000,1
8919,90,MMT,71,,MIDDLTON:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-71,B67F72,000000,1
8920,90,MMT,72,,MIDDLTON:CAP SQR,Weekday schedule trips operate regularly every 30 minutes eastbound from approximately 6 AM until 8 AM and westbound every 30 minutes from approximately 3 PM until 5 PM. Limited trips operate westbound in the AM and eastbound in the PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-72,841D1D,FFFFFF,1
8921,90,MMT,73,,MIDDLTON:WEST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-73,DFB93E,000000,1
8922,90,MMT,75,,VERONA:CAP SQR,Weekday schedule trips operate at least every 60 minutes from approximately 7 AM until 9 AM and 5 PM until 7 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-75,E0993A,000000,1
8923,90,MMT,78,,MIDDLTON:WEST TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-78,365AA6,FFFFFF,1
8924,90,MMT,80,,EAGLE HT:UW UNION,Daily schedule trips operate at least every 60 minutes. Additional weekday schedule trips operate at least every 15 minutes from approximately 7 AM until 6 PM. No trips operate on Campus Holidays.,3,http://www.cityofmadison.com/metro/routes-schedules/route-80,B33927,000000,1
8925,90,MMT,81,,OBSRVTRY/JOHNSON:UNION,Daily schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-81,DD9139,000000,1
8926,90,MMT,82,,BREESE/W WASH:UNION,Daily schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-82,3F6AB2,000000,1
8927,90,MMT,84,,EAGLE HT:U CAMPUS,Weekday schedule trips operate at least every 30 minutes westbound from approximately 5 PM until 7 PM. No trips operate on Campus Holidays.,3,http://www.cityofmadison.com/metro/routes-schedules/route-84,60348E,000000,1
